proto,state,dur,sbyte,dbyte,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
111,4,-0.21498423110022935,-0.04361012224122397,-0.1593950164526098,31,29,5,4,0,-0.25976004925408697,0.3844510521748564,-0.059286281937511474,-0.15664530436152518,0.864092328160529,0.8651760777583679,4017512464,1868185464,67,123,0,0,12.861736,0.383329,1421945367,1421945367,0.210619,0.286077,0.000773,0.000573,0.0002,0,0,0,0,0,42,24,25,43,4,4,5,6,0
117,2,-0.2156358137409922,-0.051325802708137656,-0.16797913900573902,31,29,0,0,0,-0.27413741966618094,-0.2960796300444876,-0.20137753101154246,-0.24430523316297392,-1.1572837385662125,-1.1558340847691428,0,0,73,89,0,0,0.0,0.0,1421932386,1421932386,0.003,0.004,0.0,0.0,0.0,0,0,0,0,0,17,8,1,2,1,1,1,6,0
117,5,-0.21594295123077922,-0.05063815142785381,-0.16896492856345321,60,0,0,0,2,2.101410215478757,-0.4382826463585972,-0.20137753101154246,-0.2589152212965487,-1.1572837385662125,-1.1558340847691428,0,0,132,0,0,0,0.0,0.0,1421932188,1421932188,0.003,0.0,0.0,0.0,0.0,0,0,0,0,0,17,17,3,3,3,3,3,6,0
111,4,-0.17200190112058583,-0.04320219351563186,-0.15986022051355359,31,29,4,4,0,-0.276532872385948,-0.42090202263131377,-0.10191365665972077,-0.1274253280943756,0.864092328160529,0.8651760777583679,2196053853,2241368697,96,91,0,0,824.720149,22.623041,1421928080,1421928081,13.482934,11.853,0.001242,0.001074,0.000168,0,0,0,0,0,6,9,9,6,6,1,6,6,0
111,4,-0.21139401942582628,-0.036057613264547136,-0.008956884173124945,31,29,7,16,0,-0.269949902137817,2.6168696515920877,0.09701409204392261,0.07711450577567143,0.864092328160529,0.8651760777583679,3556799679,1411725387,63,628,0,0,26.859778,26.431535,1421941204,1421941204,0.480093,0.452578,0.00073,0.000599,0.000131,0,0,0,0,0,4,7,3,6,1,1,1,6,0
117,2,-0.21571064596837675,-0.051325802708137656,-0.16797913900573902,31,29,0,0,0,-0.2732441669111048,-0.2503998995183073,-0.20137753101154246,-0.24430523316297392,-1.1572837385662125,-1.1558340847691428,0,0,73,89,0,0,0.0,0.0,1421955689,1421955689,0.01,0.008,0.0,0.0,0.0,0,0,0,0,0,10,18,6,3,1,1,1,6,0
111,4,-0.20590241846083493,-0.05031180844738012,-0.15802155684410915,31,29,1,2,4,-0.2766063985268337,-0.35360264629322863,-0.17295928119673626,-0.20047526876224955,0.864092328160529,0.8651760777583679,3972899949,3986150225,53,247,0,0,640.59731,15.687639,1421936519,1421936519,9.1936,6.539714,0.000654,0.00051,0.000144,0,0,0,0,0,3,3,3,3,1,1,1,6,0
117,2,-0.21572279264876382,-0.051325802708137656,-0.16797913900573902,31,29,0,0,0,-0.273042061363404,-0.24006449176928882,-0.20137753101154246,-0.24430523316297392,-1.1572837385662125,-1.1558340847691428,0,0,73,89,0,0,0.0,0.0,1421933775,1421933775,0.01,0.001,0.0,0.0,0.0,0,0,0,0,0,8,8,4,3,2,1,1,6,0
111,4,-0.2119375833731471,0.021530267682613756,-0.09585035698512309,31,29,35,33,11,-0.24019412957815894,1.169385712352098,0.6795882132474497,0.6469040429850881,0.864092328160529,0.8651760777583679,1133226101,1133557535,100,106,0,0,10.141909,0.0,1421945430,1421945430,0.147752,0.145328,0.000767,0.000612,0.000155,0,0,0,0,0,1,1,28,4,4,4,4,6,0
111,4,0.021152224439322343,-0.04296909138672208,-0.11265308461492567,31,29,3,5,0,-0.27684650188989324,-0.4183622029071607,-0.13033190647452697,-0.1274253280943756,0.864092328160529,0.8651760777583679,1888195584,4227640977,132,565,2,192,9557.85445,7697.957088,1421945425,1421945426,99.339457,64.271645,0.000583,0.000461,0.000122,0,0,6,0,0,11,15,18,13,13,6,6,6,0
